date,event,player_a,player_b,score_a,odds_a,odds_b
2024-10-09,Demo 6.152,K. Mbaye,P. Doyle,1,1.57,2.51
2024-10-11,Demo 6.153,E. Tanaka,M. Rossi,0,2.39,1.66
2024-10-13,Demo 6.154,B. Ferreira,C. Lindqvist,0,1.92,1.87
2024-10-15,Demo 6.155,H. Van Dijk,P. Doyle,1,1.6,2.23
2024-10-17,Demo 6.156,I. Costa,D. Moreau,1,2.49,1.61
2024-10-19,Demo 6.157,C. Lindqvist,I. Costa,0,1.81,1.98
2024-10-21,Demo 6.158,L. Kowalski,G. Petrov,1,1.59,2.41
2024-10-23,Demo 6.159,L. Kowalski,A. Novak,0,1.48,2.52
2024-10-25,Demo 6.160,O. Silva,L. Kowalski,0,2.75,1.48
2024-10-27,Demo 6.161,N. Berg,L. Kowalski,0,2.47,1.54
2024-10-29,Demo 6.162,P. Doyle,N. Berg,0,2.63,1.46
2024-10-31,Demo 6.163,M. Rossi,B. Ferreira,1,1.61,2.26
2024-11-02,Demo 6.164,E. Tanaka,D. Moreau,1,2.43,1.57
2024-11-04,Demo 6.165,B. Ferreira,N. Berg,1,2.19,1.86
2024-11-06,Demo 6.166,A. Novak,M. Rossi,1,2.32,1.5
2024-11-08,Demo 6.167,P. Doyle,B. Ferreira,0,2.54,1.7
2024-11-10,Demo 6.168,H. Van Dijk,A. Novak,1,2.01,1.65
2024-11-12,Demo 6.169,C. Lindqvist,J. Schmidt,0,2.13,1.75
2024-11-14,Demo 6.170,P. Doyle,L. Kowalski,0,3.1,1.37
2024-11-16,Demo 6.171,A. Novak,N. Berg,1,1.92,1.91
2024-11-18,Demo 6.172,L. Kowalski,C. Lindqvist,1,1.57,2.4
2024-11-20,Demo 6.173,L. Kowalski,A. Novak,0,1.46,2.81
2024-11-22,Demo 6.174,F. O'Connell,M. Rossi,0,2.87,1.48
2024-11-24,Demo 6.175,K. Mbaye,N. Berg,1,1.97,1.98
2024-11-26,Demo 6.176,L. Kowalski,N. Berg,1,1.54,2.36
2024-11-28,Demo 6.177,P. Doyle,G. Petrov,1,2.34,1.49
2024-11-30,Demo 6.178,G. Petrov,M. Rossi,0,2.19,1.86
2024-12-02,Demo 6.179,D. Moreau,G. Petrov,0,1.75,1.99
2024-12-04,Demo 6.180,J. Schmidt,L. Kowalski,0,2.33,1.67
